periodico,n_artigos
Sustainability,223
International Journal of Advanced Multidisciplinary Research and Studies,110
World Journal of Advanced Research and Reviews,79
Scientific Reports,66
PLoS ONE,65
Journal of Infrastructure Policy and Development,64
Proceedings of the AAAI/ACM Conference on AI Ethics and Society,60
International Journal For Multidisciplinary Research,60
International Journal of Research Publication and Reviews,60
Russian Economic Bulletin,60
International Journal of Science and Research Archive,56
International Journal of Scientific Research in Computer Science Engineering and Information Technology,54
Heliyon,53
Applied Sciences,52
Energies,47
Land,44
Water,37
Saudi Journal of Medicine and Public Health,36
Systems,34
INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,33
